Pelicula,Recomendaciones
Toy Story,"['Toy Story 2', ""Dug's Special Mission"", 'Finding Nemo', 'Partly Cloudy', 'BURN·E']"
Jumanji,"['Blind Fury', 'Pitch Black', 'The Associate', 'Snow White: A Tale of Terror', 'Class Action']"
Grumpier Old Men,"['Grumpy Old Men', ""You've Got Mail"", ""Summer of '42"", 'Crazy, Stupid, Love.', ""Alice Doesn't Live Here Anymore""]"
Waiting to Exhale,"['Ever After: A Cinderella Story', 'How Stella Got Her Groove Back', 'Working Girl', 'Lucas', 'An Unmarried Woman']"
Heat,"['A Time to Kill', 'The Negotiator', 'The Sunchaser', 'Heaven & Earth', 'The Client']"
Sabrina,"['Mother', 'The Truman Show', 'Major League', 'The Rainmaker', 'The First Wives Club']"
GoldenEye,"['For Your Eyes Only', 'The Living Daylights', 'Live and Let Die', 'The Spy Who Loved Me', 'The Man with the Golden Gun']"
The American President,"['Forget Paris', 'Othello', 'City Hall', 'Beyond Rangoon', 'Little Big League']"
Balto,"['An American Tail: Fievel Goes West', 'An American Tail', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'E.T. the Extra-Terrestrial', 'How To Make An American Quilt']"
Nixon,"['Tombstone', 'Deep Rising', 'The Joy Luck Club', 'Mystery, Alaska', 'Funny Bones']"
Casino,"['Bringing Out the Dead', 'Grace of My Heart', 'Cape Fear', 'Willie Dynamite', 'How Most Things Work']"
Sense and Sensibility,"['Absence of Malice', 'Searching for Bobby Fischer', 'Major League', 'Breaking and Entering', 'Ice Castles']"
Four Rooms,"['Pulp Fiction', 'Kill Bill: Vol. 1', 'Kill Bill: Vol. 2', 'From Dusk Till Dawn', 'Jackie Brown']"
Ace Ventura: When Nature Calls,"['Robin Hood: Prince of Thieves', 'Incognito', 'Ace Ventura: Pet Detective', 'Stay Tuned', 'Pacific Heights']"
Get Shorty,"['Get Carter', 'Zig Zag', 'Undercover Blues', 'Pretty Maids All in a Row', 'Wise Guys']"
Copycat,"['Runaway Jury', 'Stay', 'True Story', ""What's Your Number?"", 'In Time']"
Assassins,"['Lethal Weapon 4', 'Conspiracy Theory', 'Free Willy', 'Dave', 'Radio Flyer']"
Powder,"['While You Were Sleeping', 'Simon Birch', 'Houseguest', 'A Low Down Dirty Shame', 'Dead Presidents']"
Leaving Las Vegas,"['Until September', 'Annie Hall', 'Raging Bull', 'Rocky', 'Rocky II']"
Othello,"['City Hall', 'Beyond Rangoon', 'The American President', 'Forget Paris', 'Ghosts of Mississippi']"
Now and Then,"['Secondhand Lions', 'Corrina, Corrina', 'Angus', 'House Party', 'The Upside of Anger']"
Persuasion,"['An Education', 'Keep the Aspidistra Flying', 'The Way We Live Now', 'Confetti', 'Ratcatcher']"
The City of Lost Children,"['El Sur', 'Cyclo', 'Regular Lovers', 'La Bande du drugstore', 'The Spirit of the Beehive']"
Shanghai Triad,"['La estrategia del caracol', 'Caramel', 'Life is Rosy', 'As I Open My Eyes', 'The Scent of Green Papaya']"
Dangerous Minds,"['Crimson Tide', 'The Rock', 'Bad Boys', 'The Ref', 'Bad Boys II']"
Twelve Monkeys,"['The Andromeda Strain', 'Colossus: The Forbin Project', 'Yesterday Was a Lie', 'They Might Be Giants', 'The Big Fix']"
Wings of Courage,"['The Pixar Story', 'Encounter in the Third Dimension', 'Here', 'Benji', 'Bandidos']"
Babe,"['Flirting', 'Dead Calm', 'The Year My Voice Broke', 'Mad Max 2: The Road Warrior', 'The Witches of Eastwick']"
Carrington,"['A Home of Our Own', 'Paperback Hero', 'The Adventures of Priscilla, Queen of the Desert', 'What Dreams May Come', 'Sweeney!']"
Dead Man Walking,"['Fargo', 'Four Weddings and a Funeral', 'Elizabeth', 'The Big Lebowski', 'The Hudsucker Proxy']"
It Takes Two,"['Double, Double, Toil and Trouble', 'Let It Be Me', 'Big Night', 'Above Suspicion', 'Private Parts']"
Clueless,"['Forrest Gump', 'Harold and Maude', '200 Cigarettes', 'Soapdish', 'Frankie and Johnny']"
"Cry, the Beloved Country","['Shepherds and Butchers', 'Betrayal', 'The Substance of Fire', 'Captives', 'No Place to Go']"
Richard III,"['Before the Rain', 'The Big One', 'Sister My Sister', 'Beautiful People', 'Brand: A Second Coming']"
Dead Presidents,"['A Low Down Dirty Shame', 'While You Were Sleeping', 'Simon Birch', 'Houseguest', 'Powder']"
Restoration,"['Jane Eyre', 'Unhook the Stars', 'The Wings of the Dove', 'The Shipping News', 'Flirting with Disaster']"
To Die For,"['Carry On Matron', 'Carry On Abroad', 'Carry On Girls', 'The Fourth Protocol', 'Carry On Loving']"
How To Make An American Quilt,"['The Money Pit', 'To Wong Foo, Thanks for Everything! Julie Newmar', ""Schindler's List"", 'An American Tail', 'Jurassic Park']"
Se7en,"[""Hangin' With The Homeboys"", 'The Wedding Singer', 'Blink', 'Piedipiatti', 'Fantozzi To The Rescue']"
Pocahontas,"['Mulan', 'The Lion King', 'Dinosaur', 'Lilo & Stitch', ""The Emperor's New Groove""]"
The Usual Suspects,"['Apt Pupil', ""Trick 'r Treat"", 'Valkyrie', 'The John Garfield Story', 'X2']"
Guardian Angel,"[""No Man's Land"", ""Teheran '43"", 'The Man in the Glass Booth', 'Merantau', 'Night of the Running Man']"
Mighty Aphrodite,"['Not Quite Hollywood', 'Food, Inc.', 'Burden', 'Flirting with Disaster', 'Restoration']"
Lamerica,"['Under The Domim Tree', 'Kaspar Hauser', 'Voyage to the Beginning of the World', 'The Dreamlife of Angels', 'Nô']"
Georgia,"['Black Cat, White Cat', 'Secrets & Lies', 'Kika', 'The Flower of My Secret', 'Twin Peaks: Fire Walk with Me']"
Home for the Holidays,"['Waking the Dead', 'Nell', 'Paperback Hero', 'The Adventures of Priscilla, Queen of the Desert', 'A Home of Our Own']"
The Postman,"['Cold Comfort Farm', 'Next Stop Wonderland', 'The Broken Hearts Club: A Romantic Comedy', 'The Brothers', 'Shirley Valentine']"
The Confessional,"['Diamond Men', 'Hammett', 'The Sailor Who Fell from Grace with the Sea', 'Auggie Rose', 'Apartment 4E']"
Mr. Holland's Opus,"['Snow White: A Tale of Terror', 'The Associate', 'The Adventures of Priscilla, Queen of the Desert', 'A Home of Our Own', ""Gridlock'd""]"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['The Scapegoat', ""I'm Gonna Git You Sucka"", 'Smoke', 'The House of Yes', 'The Mighty']"
French Twist,"['The Bet', 'The Adopted', 'Two Brothers', 'Three Seats for the 26th', 'The Woman Next Door']"
Friday,"['Next Friday', 'Polyester', 'Friday After Next', 'House Party', 'The Upside of Anger']"
From Dusk Till Dawn,"['The Faculty', 'Four Rooms', 'Desperado', 'Pulp Fiction', 'Kill Bill: Vol. 2']"
Kicking and Screaming,"['Father of the Bride', 'Mr. Jealousy', 'True Identity', 'Straight Talk', 'Fly Away Home']"
